Optimizer,Optimized Query,Cost
GANOptimizer,id < 100 and category == 'A',3199.746
GANOptimizer,data.str.contains('S') and category == 'A' and data.str.contains('X') and id >=500000 and id<700000,2920.746
GANOptimizer,category == 'B' and data.str.contains('AFG'),5088.933000000001
GANOptimizer,id >= 75 and category == 'C' and data.str.contains('AFG'),5110.587
GANOptimizer,id >= 150 and id <750000 and data.str.contains('G') and category == 'F' and id <=650000 and data.str.contains('AB'),3250.0
