Optimization Time,Query Execution Time,Learning Rate G,Learning Rate D,Activation Function
2.394232749938965,5761.990999999999,0.001,0.001,ReLU
1.1246380805969238,7173.547,0.001,0.001,LeakyReLU
1.1209611892700195,12076.759,0.001,0.005,ReLU
1.1191222667694092,4882.588999999999,0.001,0.005,LeakyReLU
1.1487371921539307,11542.507,0.001,0.01,ReLU
1.1249568462371826,4616.6089999999995,0.001,0.01,LeakyReLU
1.1239407062530518,4131.197,0.005,0.001,ReLU
1.1224400997161865,9365.887999999999,0.005,0.001,LeakyReLU
1.1655292510986328,4524.767999999999,0.005,0.005,ReLU
1.1972191333770752,12076.759,0.005,0.005,LeakyReLU
1.1393678188323975,4493.064,0.005,0.01,ReLU
1.1804170608520508,4682.4310000000005,0.005,0.01,LeakyReLU
1.151125192642212,8657.182999999999,0.01,0.001,ReLU
1.156134843826294,9257.571000000002,0.01,0.001,LeakyReLU
1.1333520412445068,4428.352,0.01,0.005,ReLU
1.1391088962554932,8832.892,0.01,0.005,LeakyReLU
1.1448638439178467,7796.243,0.01,0.01,ReLU
1.1238930225372314,3032.4269999999997,0.01,0.01,LeakyReLU
