Optimization Time,Query Execution Time,Learning Rate G,Learning Rate D,Activation Function
2.7027549743652344,9290.126,0.001,0.001,ReLU
1.1441929340362549,9213.914,0.001,0.001,LeakyReLU
1.1327848434448242,4790.7480000000005,0.001,0.01,ReLU
1.139376163482666,5157.183,0.001,0.01,LeakyReLU
1.1502101421356201,3991.7720000000004,0.01,0.001,ReLU
1.1321711540222168,5373.5470000000005,0.01,0.001,LeakyReLU
1.165565013885498,6887.849,0.01,0.01,ReLU
1.144179105758667,3816.0629999999996,0.01,0.01,LeakyReLU
