Optimizer,Optimized Query,Cost
GreedyOptimizer,id < 100 and category == 'A',3199.746
GreedyOptimizer,data.str.contains('S') and category == 'A' and data.str.contains('X') and id >=500000 and id<700000,3920.3109999999997
GreedyOptimizer,category == 'B' and data.str.contains('AFG'),4023.1450000000004
GreedyOptimizer,id >= 75 and category == 'C' and data.str.contains('AFG'),4228.2390000000005
GreedyOptimizer,id >= 150 and id <750000 and data.str.contains('G') and category == 'F' and id <=650000 and data.str.contains('AB'),3000.0
