Optimization Time,Query Execution Time,Learning Rate G,Learning Rate D,Activation Function
2.8206217288970947,9213.914,0.001,0.001,ReLU
1.213210105895996,4194.692,0.001,0.001,LeakyReLU
1.1692299842834473,4194.692,0.001,0.005,ReLU
1.2600641250610352,4493.064,0.001,0.005,LeakyReLU
1.1420669555664062,4331.3550000000005,0.001,0.01,ReLU
1.121457815170288,5573.547,0.001,0.01,LeakyReLU
1.1172847747802734,4428.352,0.005,0.001,ReLU
1.1130468845367432,8773.389,0.005,0.001,LeakyReLU
1.1180047988891602,8073.547,0.005,0.005,ReLU
1.109147310256958,9424.651,0.005,0.005,LeakyReLU
1.238461971282959,3494.85,0.005,0.01,ReLU
1.1231489181518555,8679.662,0.005,0.01,LeakyReLU
1.110882043838501,7235.639000000001,0.01,0.001,ReLU
1.1211810111999512,9748.019,0.01,0.001,LeakyReLU
1.1143290996551514,6831.506000000001,0.01,0.005,ReLU
1.1422059535980225,6243.494,0.01,0.005,LeakyReLU
1.1214499473571777,6724.046,0.01,0.01,ReLU
1.1153297424316406,4927.561999999999,0.01,0.01,LeakyReLU
