Optimization Time,Query Execution Time,Learning Rate G,Learning Rate D,Activation Function
2.8245849609375,9748.019,0.001,0.001,ReLU
1.2775862216949463,7128.314,0.001,0.001,LeakyReLU
1.2951617240905762,3728.5099999999993,0.001,0.005,ReLU
1.2038719654083252,9257.571000000002,0.001,0.005,LeakyReLU
1.1498422622680664,9236.426,0.001,0.01,ReLU
1.1893019676208496,10084.613999999998,0.001,0.01,LeakyReLU
1.149510145187378,4493.064,0.005,0.001,ReLU
1.1262199878692627,10084.613999999998,0.005,0.001,LeakyReLU
1.1515519618988037,7096.61,0.005,0.005,ReLU
1.1464312076568604,6701.387,0.005,0.005,LeakyReLU
1.1290366649627686,3371.852,0.005,0.01,ReLU
1.140697717666626,4772.598999999999,0.005,0.01,LeakyReLU
1.1220920085906982,5365.098,0.01,0.001,ReLU
1.1318936347961426,5457.183,0.01,0.001,LeakyReLU
1.1410257816314697,3332.4269999999997,0.01,0.005,ReLU
1.1457438468933105,11565.166000000001,0.01,0.005,LeakyReLU
1.1323521137237549,4772.598999999999,0.01,0.01,ReLU
1.1426868438720703,4087.2320000000004,0.01,0.01,LeakyReLU
